Country;Population;Continent;Total Cases;Total Deaths
Syria;18244381;Asia;55711;3144
"Taiwan,""China Taiwan Province of China"",TWN,23892241,Asia,24310,853,1017,36,3.508844097";;;;
Tajikistan;9912437;Asia;17388;124
Tanzania;62710097;Africa;33815;800
Thailand;70106601;Asia;3711595;25418
Timor-Leste;1362386;Asia;22832;130
Togo;8618172;Africa;36944;272
Tonga;107792;Oceania;7127;9
Trinidad and Tobago;1407422;Latin America and the Caribbean;138425;3756
Tunisia;12035092;Africa;1035884;28323
Turkey;85927644;Asia;14894731;98157
Turks and Caicos;39634;Latin America and the Caribbean;5910;36
UAE;10099567;Asia;892170;2302
Uganda;48267221;Africa;163936;3595
UK;68510300;Europe;21216874;165570
Ukraine;43273831;Europe;4968881;107980
Uruguay;3494806;Latin America and the Caribbean;889513;7166
USA;334400597;Northern America;81839052;1008222
Uzbekistan;34318156;Asia;237853;1637
Vanuatu;319701;Oceania;4107;2
Vatican City;805;Europe;29;0
Venezuela;28294895;Latin America and the Caribbean;520843;5686
Vietnam;98871712;Asia;9818328;42600
Wallis and Futuna;10894;Oceania;454;7
Western Sahara;623031;Africa;10;1
Yemen;30975258;Asia;11806;2143
Zambia;19284482;Africa;317076;3967
Zimbabwe;15241601;Africa;246525;5446
